Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK,Adj Close
2020-06-04,191.78,191.78,191.42,192.04,18.0,0.0,0.0,191.58,0.24010857083200943,-13.573357335733572,-212.95000000000005,1344.28,1557.23,True,
2020-06-05,194.28,195.5,194.28,196.26,498.0,0.0,0.0,192.04,2.197458862736923,-11.674167416741673,-183.41000000000008,1373.82,1557.23,True,
2020-06-08,196.32,197.6,196.32,196.36,525.0,0.0,0.0,196.26,0.050952817690830265,-11.62916291629162,-182.71000000000004,1374.52,1557.23,True,
2020-06-09,192.94,192.94,191.76,192.38,2383.0,0.0,0.0,196.36,-2.0268893868405025,-13.420342034203417,-210.57000000000016,1346.6599999999999,1557.23,True,
2020-06-10,193.18,193.18,189.8,190.48,872.0,0.0,0.0,192.38,-0.9876286516269928,-14.275427542754276,-223.87000000000012,1333.36,1557.23,True,
2020-06-11,185.14,185.78,183.24,183.04,2095.0,0.0,0.0,190.48,-3.9059218815623686,-17.62376237623762,-275.95000000000005,1281.28,1557.23,True,
2020-06-12,179.66,185.58,179.66,183.32,876.0,0.0,0.0,183.04,0.15297202797202036,-17.497749774977496,-273.99,1283.24,1557.23,True,
2020-06-15,180.34,183.98,179.38,183.8,33.0,0.0,0.0,183.32,0.2618372245254408,-17.281728172817274,-270.6299999999999,1286.6000000000001,1557.23,True,
2020-06-16,187.98,189.5,187.08,188.76,303.0,0.0,0.0,183.8,2.698585418933619,-15.049504950495049,-235.91000000000008,1321.32,1557.23,True,
2020-06-17,189.5,190.08,188.14,188.96,322.0,0.0,0.0,188.76,0.10595465140921245,-14.95949594959495,-234.51,1322.72,1557.23,True,
2020-06-18,190.06,190.48,187.52,188.22,3468.0,0.0,0.0,188.96,-0.3916172734970358,-15.292529252925288,-239.69000000000005,1317.54,1557.23,True,
2020-06-19,187.7,187.7,187.7,187.72,105.0,0.0,0.0,188.22,-0.26564658378492867,-15.517551755175512,-243.19000000000005,1314.04,1557.23,True,
2020-06-22,187.7,187.7,186.2,186.56,1253.0,0.0,0.0,187.72,-0.6179416151715356,-16.039603960396036,-251.30999999999995,1305.92,1557.23,True,
2020-06-23,189.0,189.86,188.38,189.26,741.0,0.0,0.0,186.56,1.447255574614048,-14.824482448244824,-232.41000000000008,1324.82,1557.23,True,
2020-06-24,187.46,187.46,186.0,185.26,96.0,0.0,0.0,189.26,-2.1134946634259744,-16.624662466246626,-260.4100000000001,1296.82,1557.23,True,
2020-06-25,184.2,185.8,184.2,185.98,1042.0,0.0,0.0,185.26,0.3886429882327569,-16.300630063006302,-255.37000000000012,1301.86,1557.23,True,
2020-06-26,187.4,187.4,187.4,185.44,7.0,0.0,0.0,185.98,-0.29035380148402234,-16.54365436543654,-259.1500000000001,1298.08,1557.23,True,
2020-07-09,190.92,191.0,189.16,188.94,1016.0,0.0,0.0,185.44,1.8874029335634201,-14.968496849684964,-234.6500000000001,1322.58,1557.23,True,
2020-07-10,189.72,189.72,189.72,189.7,38.0,0.0,0.0,188.94,0.40224409865565747,-14.626462646264626,-229.33000000000015,1327.8999999999999,1557.23,True,
2020-07-13,191.94,191.94,191.68,192.06,87.0,0.0,0.0,189.7,1.244069583552987,-13.56435643564356,-212.80999999999995,1344.42,1557.23,True,
2020-07-14,189.3,189.8,189.1,189.76,107.0,0.0,0.0,192.06,-1.1975424346558405,-14.5994599459946,-228.91000000000008,1328.32,1557.23,True,
2020-07-15,191.7,192.94,191.36,192.52,158.0,0.0,0.0,189.76,1.45446880269815,-13.357335733573347,-209.58999999999992,1347.64,1557.23,True,
2020-07-16,191.9,192.46,191.9,192.16,79.0,0.0,0.0,192.52,-0.18699355911074855,-13.519351935193516,-212.11000000000013,1345.12,1557.23,True,
2020-07-17,192.48,192.48,191.86,192.0,129.0,0.0,0.0,192.16,-0.08326394671107629,-13.591359135913587,-213.23000000000002,1344.0,1557.23,True,
2020-07-20,192.26,193.2,192.26,193.48,122.0,0.0,0.0,192.0,0.7708333333333206,-12.925292529252925,-202.87000000000012,1354.36,1557.23,True,
2020-07-21,196.52,196.52,195.2,194.82,113.0,0.0,0.0,193.48,0.692578044242298,-12.32223222322232,-193.49,1363.74,1557.23,True,
2020-07-22,194.82,194.82,194.82,194.82,0.0,0.0,0.0,194.82,0.0,-12.32223222322232,-193.49,1363.74,1557.23,True,
2020-07-23,195.44,195.44,194.82,194.86,443.0,0.0,0.0,194.82,0.020531772918608304,-12.304230423042293,-193.21000000000004,1364.02,1557.23,True,
2020-07-24,191.86,191.86,191.6,192.12,130.0,0.0,0.0,194.86,-1.406137739915847,-13.53735373537353,-212.38999999999987,1344.8400000000001,1557.23,True,
2020-07-27,191.1,191.1,190.68,191.08,241.0,0.0,0.0,192.12,-0.5413283364563815,-14.005400540053994,-219.66999999999985,1337.5600000000002,1557.23,True,
2020-07-28,190.34,190.82,190.24,191.04,598.0,0.0,0.0,191.08,-0.02093364036006573,-14.023402340234023,-219.95000000000005,1337.28,1557.23,True,
2020-07-29,191.16,191.16,191.08,191.38,24.0,0.0,0.0,191.04,0.1779731993299949,-13.870387038703868,-217.57000000000016,1339.6599999999999,1557.23,True,
2020-07-30,191.38,191.38,191.38,191.38,0.0,0.0,0.0,191.38,0.0,-13.870387038703868,-217.57000000000016,1339.6599999999999,1557.23,True,
2020-07-31,188.08,188.08,188.0,188.14,30.0,0.0,0.0,191.38,-1.6929668721914592,-15.328532853285331,-240.25,1316.98,1557.23,True,
