Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Prev Close,Var%,Var_from_Ini_%,Profit/Loss,Present_Value,Invested,OK
2020-05-27,52.5,52.81,51.67,52.05,217166,0,0,52.18,-0.2491376006132695,22.183098591549285,359.3699999999999,1873.8,1514.43,True
2020-05-28,52.74,52.9,52.57,52.81,328464,0,0,52.05,1.4601344860710963,23.967136150234744,386.73,1901.16,1514.43,True
2020-05-29,52.17,52.23,51.71,51.72,90026,0,0,52.81,-2.0640030297292222,21.408450704225345,347.49,1861.92,1514.43,True
2020-06-01,52.51,52.58,52.14,52.54,34133,0,0,51.72,1.585460170146935,23.33333333333333,377.01,1891.44,1514.43,True
2020-06-02,52.72,52.96,52.58,52.64,46948,0,0,52.54,0.19033117624667195,23.56807511737089,380.6099999999999,1895.04,1514.43,True
2020-06-03,53.0,53.55,52.92,53.5,54452,0,0,52.64,1.6337386018236977,25.586854460093893,411.56999999999994,1926.0,1514.43,True
2020-06-04,53.4,53.6,52.9,53.01,76235,0,0,53.5,-0.9158878504672896,24.436619718309853,393.92999999999984,1908.36,1514.43,True
2020-06-05,53.12,54.46,53.12,54.46,168526,0,0,53.01,2.7353329560460438,27.84037558685446,446.1299999999999,1960.56,1514.43,True
2020-06-08,54.12,54.61,54.08,54.55,83460,0,0,54.46,0.16525890561880363,28.05164319248825,449.3699999999999,1963.8,1514.43,True
2020-06-09,54.8,54.87,53.93,54.18,102174,0,0,54.55,-0.6782768102658099,27.183098591549292,436.04999999999995,1950.48,1514.43,True
2020-06-10,54.4,54.47,53.77,54.04,72406,0,0,54.18,-0.2583979328165342,26.85446009389671,431.01,1945.44,1514.43,True
2020-06-11,53.05,53.21,51.93,51.93,253538,0,0,54.04,-3.904515173945222,21.90140845070422,355.04999999999995,1869.48,1514.43,True
2020-06-12,51.56,52.52,51.46,51.92,161462,0,0,51.93,-0.01925669170036448,21.87793427230047,354.69000000000005,1869.1200000000001,1514.43,True
2020-06-15,50.61,51.7,50.44,51.52,188115,0,0,51.92,-0.7704160246533087,20.93896713615024,340.28999999999996,1854.72,1514.43,True
2020-06-16,52.57,53.77,52.56,53.3,143456,0,0,51.52,3.454968944099357,25.11737089201877,404.3699999999999,1918.8,1514.43,True
